"","Overall"
"a03sexo2",32.8971283204886
"a05idade",0
"abepdicotomica2",0
"cordapele2",0
"escolaridade",0
"vive_companheiro1",0
"b01famil12",0
"b04interna12",0
"b03med12",0
"b06tentsu12",0
"b08famil22",0
"b10med22",0
"b13tentsu22",0
"nemtrabnemestuda2",15.5055921587053
"a16tratpsic2",0
"a30interp2",0
"moracomalgunsdospais2",0
"tpanicoatual2",0
"fobiaespatual2",40.6280855819191
"fobiasocialatual2",0
"tagatual2",26.6037036323526
"teptatual2",0
"tocatual2",0
"agorafobiaatual2",0
"clusterA",4.87872827908716
"clusterB",0
"clusterC",0.0590262581189129
"alcoolabudep2",0
"maconhaabudep2",28.6133807875335
"abudepoutrasdrogas2",20.7051782457476
"abudepoutrasdrogasshipnoticos2",0
"cigarroabudep2",0
"suiciderisk_MINI1",100
"CTQ",1.52313505910604
