"","roc_curve.sensitivities"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",0.967741935483871
"14",0.935483870967742
"15",0.935483870967742
"16",0.935483870967742
"17",0.903225806451613
"18",0.903225806451613
"19",0.870967741935484
"20",0.870967741935484
"21",0.870967741935484
"22",0.870967741935484
"23",0.838709677419355
"24",0.806451612903226
"25",0.806451612903226
"26",0.806451612903226
"27",0.774193548387097
"28",0.774193548387097
"29",0.774193548387097
"30",0.774193548387097
"31",0.741935483870968
"32",0.741935483870968
"33",0.741935483870968
"34",0.741935483870968
"35",0.709677419354839
"36",0.67741935483871
"37",0.67741935483871
"38",0.67741935483871
"39",0.645161290322581
"40",0.645161290322581
"41",0.645161290322581
"42",0.645161290322581
"43",0.645161290322581
"44",0.612903225806452
"45",0.612903225806452
"46",0.612903225806452
"47",0.580645161290323
"48",0.580645161290323
"49",0.580645161290323
"50",0.580645161290323
"51",0.580645161290323
"52",0.548387096774194
"53",0.516129032258065
"54",0.483870967741935
"55",0.451612903225806
"56",0.419354838709677
"57",0.387096774193548
"58",0.387096774193548
"59",0.387096774193548
"60",0.354838709677419
"61",0.32258064516129
"62",0.290322580645161
"63",0.258064516129032
"64",0.225806451612903
"65",0.225806451612903
"66",0.193548387096774
"67",0.161290322580645
"68",0.129032258064516
"69",0.0967741935483871
"70",0.0645161290322581
"71",0.0645161290322581
"72",0.032258064516129
"73",0
